% Model:              version04-chipAndSpace.mph
% Version:            COMSOL 6.1.0.252
% Date:               Aug 31 2023, 16:01
% Dimension:          1
% Nodes:              1965
% Expressions:        21
% Description:        Line graph
% x-coordinate (mm),Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction
-41.712203019538215,0,3.3741957826349806E22,6.748391565270027E22,1.0122587347905597E23,1.349678313053992E23,1.6870978913173895E23,2.0245174695811305E23,2.361937047844002E23,2.69935662610797E23,3.0367762043716144E23,3.374195782634608E23,3.711615360898156E23,4.0490349391622537E23,4.386454517424812E23,4.723874095688029E23,5.061293673952692E23,5.398713252215968E23,5.736132830478803E23,6.073552408742916E23,6.410971987007001E23,6.748391565269506E23
-41.666201091662764,0,3.374195216968796E22,6.748390433937653E22,1.012258565090701E23,1.3496780867875187E23,1.6870976084842908E23,2.0245171301814143E23,2.3619366518776715E23,2.6993561735750213E23,3.036775695272031E23,3.374195216968418E23,3.711614738665346E23,4.049034260362819E23,4.386453782058758E23,4.723873303755372E23,5.0612928254534085E23,5.398712347150075E23,5.7361318688462745E23,6.073551390543755E23,6.410970912241228E23,6.748390433937105E23
-41.373159064585735,0,3.374189780419111E22,6.748379560838282E22,1.0122569341257959E23,1.3496759121676447E23,1.6870948902094538E23,2.0245138682516075E23,2.3619328462928975E23,2.6993518243352746E23,3.03677080237733E23,3.374189780418748E23,3.7116087584607026E23,4.049027736503205E23,4.386446714544171E23,4.7238656925858164E23,5.061284670628896E23,5.398703648670579E23,5.7361226267118437E23,6.073541604754357E23,6.410960582796848E23,6.748379560837757E23
-40.93764871320018,0,3.374580509072723E22,6.749161018145504E22,1.012374152721881E23,1.349832203629089E23,1.6872902545362626E23,2.0247483054437773E23,2.362206356350427E23,2.6996644072581628E23,3.03712245816558E23,3.374580509072367E23,3.7120385599796704E23,4.049496610887546E23,4.38695466179387E23,4.724412712700879E23,5.061870763609312E23,5.399328814516356E23,5.736786865422976E23,6.074244916330852E23,6.411702967238698E23,6.749161018144999E23
-40.89925854718826,0,3.374579836769401E22,6.749159673538858E22,1.0123739510308854E23,1.3498319347077607E23,1.687289918384604E23,2.0247479020617846E23,2.3622058857381023E23,2.6996638694155054E23,3.0371218530925904E23,3.3745798367690315E23,3.712037820446017E23,4.04949580412356E23,4.3869537877995614E23,4.724411771476233E23,5.0618697551543166E23,5.399327738831043E23,5.7367857225073344E23,6.07424370618487E23,6.41170168986238E23,6.749159673538356E23
-40.848055413106835,0,3.374578793600598E22,6.7491575872012545E22,1.0123736380802436E23,1.3498315174402395E23,1.6872893968001993E23,2.0247472761605013E23,2.3622051555199395E23,2.699663034880466E23,3.037120914240659E23,3.374578793600225E23,3.712036672960331E23,4.0494945523209924E23,4.386952431680109E23,4.7244103110399025E23,5.061868190401119E23,5.399326069760958E23,5.736783949120365E23,6.074241828481009E23,6.411699707841668E23,6.74915758720075E23
-40.01754317382418,0,3.374174575773255E22,6.748349151546566E22,1.0122523727320395E23,1.3496698303093013E23,1.6870872878865233E23,2.024504745464091E23,2.3619222030407977E23,2.6993396606185863E23,3.0367571181960526E23,3.374174575772884E23,3.711592033350253E23,4.0490094909281747E23,4.386426948504548E23,4.72384440608162E23,5.0612618636601054E23,5.3986793212372054E23,5.736096778813877E23,6.073514236391794E23,6.410931693969719E23,6.748349151546035E23
-39.831783586095426,0,3.3741710342405763E22,6.748342068481215E22,1.0122513102722404E23,1.3496684136962305E23,1.6870855171201862E23,2.0245026205444943E23,2.361919723967923E23,2.6993368273924493E23,3.036753930816652E23,3.374171034240216E23,3.7115881376643155E23,4.049005241088978E23,4.38642234451209E23,4.7238394479358746E23,5.061256551361094E23,5.398673654784922E23,5.736090758208318E23,6.07350786163298E23,6.410924965057637E23,6.748342068480691E23
-39.82395057484356,0,3.374170875904794E22,6.748341751809653E22,1.012251262771504E23,1.3496683503619177E23,1.687085437952293E23,2.0245025255430225E23,2.3619196131328746E23,2.69933670072382E23,3.036753788314441E23,3.374170875904427E23,3.7115879634949466E23,4.049005051086035E23,4.386422138675564E23,4.723839226265775E23,5.0612563138574106E23,5.398673401447671E23,5.7360904890374906E23,6.073507576628561E23,6.410924664219632E23,6.748341751809103E23
-38.88809309898816,0,3.374153483214924E22,6.748306966429913E22,1.0122460449645436E23,1.3496613932859696E23,1.6870767416073602E23,2.0244920899290997E23,2.3619074382499685E23,2.699322786571925E23,3.0367381348935556E23,3.374153483214557E23,3.7115688315360985E23,4.048984179858191E23,4.386399528178723E23,4.7238148764999645E23,5.0612302248226144E23,5.3986455731438784E23,5.736060921464711E23,6.073476269786808E23,6.410891618108882E23,6.748306966429374E23
-38.870573568799045,0,3.374153501113874E22,6.748307002227808E22,1.012246050334228E23,1.3496614004455492E23,1.687076750556837E23,2.0244921006684698E23,2.361907450779229E23,2.6993228008910813E23,3.0367381510026136E23,3.37415350111351E23,3.7115688512249386E23,4.048984201336926E23,4.3863995514473736E23,4.7238149015584834E23,5.061230251671041E23,5.398645601782197E23,5.736060951892921E23,6.073476302004919E23,6.410891652116897E23,6.748307002227286E23
-38.61192763508112,0,3.37414865631114E22,6.748297312622342E22,1.0122445968934046E23,1.3496594625244559E23,1.6870743281554636E23,2.024489193786824E23,2.3619040594173134E23,2.6993189250488974E23,3.036733790680154E23,3.3741486563107694E23,3.7115635219419205E23,4.048978387573636E23,4.386393253203807E23,4.723808118834656E23,5.061222984466927E23,5.3986378500978236E23,5.736052715728272E23,6.073467581359998E23,6.410882446991688E23,6.748297312621803E23
